insertId,logName,operation.first,operation.id,operation.last,operation.producer,protoPayload.authenticationInfo.principalEmail,protoPayload.authenticationInfo.serviceAccountKeyName,protoPayload.authorizationInfo.granted,protoPayload.authorizationInfo.permission,protoPayload.authorizationInfo.resourceAttributes.name,protoPayload.authorizationInfo.resourceAttributes.service,protoPayload.authorizationInfo.resourceAttributes.type,protoPayload.methodName,protoPayload.request.@type,protoPayload.request.disks,protoPayload.request.machineType,protoPayload.request.name,protoPayload.request.networkInterfaces,protoPayload.request.serviceAccounts,protoPayload.requestMetadata.callerIp,protoPayload.requestMetadata.callerNetwork,protoPayload.requestMetadata.callerSuppliedUserAgent,protoPayload.requestMetadata.destinationAttributes,protoPayload.requestMetadata.requestAttributes.auth,protoPayload.requestMetadata.requestAttributes.reason,protoPayload.requestMetadata.requestAttributes.time,protoPayload.resourceLocation.currentLocations,protoPayload.resourceName,protoPayload.response.@type,protoPayload.response.id,protoPayload.response.insertTime,protoPayload.response.name,protoPayload.response.operationType,protoPayload.response.progress,protoPayload.response.selfLink,protoPayload.response.selfLinkWithId,protoPayload.response.startTime,protoPayload.response.status,protoPayload.response.targetId,protoPayload.response.targetLink,protoPayload.response.user,protoPayload.response.zone,protoPayload.serviceName,receiveTimestamp,resource.labels.instance_id,resource.labels.project_id,resource.labels.zone,resource.type,severity,timestamp
#NAME?,projects/manisha-suresh/logs/cloudaudit.googleapis.com%2Factivity,,operation-1603500544826-5b260105f1d48-d4b632ea-604776a3,TRUE,compute.googleapis.com,mapreducesystem@manisha-suresh.iam.gserviceaccount.com,,,,,,,v1.compute.instances.delete,type.googleapis.com/compute.instances.delete,,,,,,34.72.158.1,//compute.googleapis.com/projects/manisha-suresh/global/networks/__unknown__,"(gzip),gzip(gfe)",[object Object],,,,,projects/manisha-suresh/zones/us-central1-a/instances/map-reduce2,,,,,,,,,,,,,,,compute.googleapis.com,2020-10-24T00:49:19.463696913Z,6.33904E+18,manisha-suresh,us-central1-a,gce_instance,NOTICE,2020-10-24T00:49:18.693097Z
xv0ciddffg2,projects/manisha-suresh/logs/cloudaudit.googleapis.com%2Factivity,,operation-1603500544194-5b26010557886-7e0352f5-16d1170a,TRUE,compute.googleapis.com,mapreducesystem@manisha-suresh.iam.gserviceaccount.com,,,,,,,v1.compute.instances.delete,type.googleapis.com/compute.instances.delete,,,,,,34.72.158.1,//compute.googleapis.com/projects/manisha-suresh/global/networks/__unknown__,"(gzip),gzip(gfe)",[object Object],,,,,projects/manisha-suresh/zones/us-central1-a/instances/map-reduce1,,,,,,,,,,,,,,,compute.googleapis.com,2020-10-24T00:49:19.564443168Z,2.46433E+18,manisha-suresh,us-central1-a,gce_instance,NOTICE,2020-10-24T00:49:18.677544Z
ldfw26e1ri16,projects/manisha-suresh/logs/cloudaudit.googleapis.com%2Factivity,TRUE,operation-1603500545873-5b260106f1613-548fb121-6a4a0a3b,,compute.googleapis.com,mapreducesystem@manisha-suresh.iam.gserviceaccount.com,//iam.googleapis.com/projects/manisha-suresh/serviceAccounts/mapreducesystem@manisha-suresh.iam.gserviceaccount.com/keys/400bdc514e9747f98c897caf2f8615d4074f5011,TRUE,compute.instances.delete,projects/manisha-suresh/zones/us-central1-a/instances/map-reduce4,compute,compute.instances,v1.compute.instances.delete,type.googleapis.com/compute.instances.delete,,,,,,34.72.158.1,//compute.googleapis.com/projects/manisha-suresh/global/networks/__unknown__,"(gzip),gzip(gfe)",[object Object],[object Object],,2020-10-24T00:49:06.288798Z,us-central1-a,projects/manisha-suresh/zones/us-central1-a/instances/map-reduce4,type.googleapis.com/operation,8.73092E+18,2020-10-23T17:49:06.159-07:00,operation-1603500545873-5b260106f1613-548fb121-6a4a0a3b,delete,0,https://www.googleapis.com/compute/v1/projects/manisha-suresh/zones/us-central1-a/operations/operation-1603500545873-5b260106f1613-548fb121-6a4a0a3b,https://www.googleapis.com/compute/v1/projects/manisha-suresh/zones/us-central1-a/operations/8730918248574272749,2020-10-23T17:49:06.179-07:00,RUNNING,7.79219E+18,https://www.googleapis.com/compute/v1/projects/manisha-suresh/zones/us-central1-a/instances/map-reduce4,mapreducesystem@manisha-suresh.iam.gserviceaccount.com,https://www.googleapis.com/compute/v1/projects/manisha-suresh/zones/us-central1-a,compute.googleapis.com,2020-10-24T00:49:06.803662135Z,7.79219E+18,manisha-suresh,us-central1-a,gce_instance,NOTICE,2020-10-24T00:49:05.918866Z
#NAME?,projects/manisha-suresh/logs/cloudaudit.googleapis.com%2Factivity,TRUE,operation-1603500545368-5b2601067614b-ab6a4d7e-30a0ce4c,,compute.googleapis.com,mapreducesystem@manisha-suresh.iam.gserviceaccount.com,//iam.googleapis.com/projects/manisha-suresh/serviceAccounts/mapreducesystem@manisha-suresh.iam.gserviceaccount.com/keys/400bdc514e9747f98c897caf2f8615d4074f5011,TRUE,compute.instances.delete,projects/manisha-suresh/zones/us-central1-a/instances/map-reduce3,compute,compute.instances,v1.compute.instances.delete,type.googleapis.com/compute.instances.delete,,,,,,34.72.158.1,//compute.googleapis.com/projects/manisha-suresh/global/networks/__unknown__,"(gzip),gzip(gfe)",[object Object],[object Object],,2020-10-24T00:49:05.855147Z,us-central1-a,projects/manisha-suresh/zones/us-central1-a/instances/map-reduce3,type.googleapis.com/operation,7.00787E+18,2020-10-23T17:49:05.747-07:00,operation-1603500545368-5b2601067614b-ab6a4d7e-30a0ce4c,delete,0,https://www.googleapis.com/compute/v1/projects/manisha-suresh/zones/us-central1-a/operations/operation-1603500545368-5b2601067614b-ab6a4d7e-30a0ce4c,https://www.googleapis.com/compute/v1/projects/manisha-suresh/zones/us-central1-a/operations/7007867155710395630,2020-10-23T17:49:05.756-07:00,RUNNING,7.38901E+18,https://www.googleapis.com/compute/v1/projects/manisha-suresh/zones/us-central1-a/instances/map-reduce3,mapreducesystem@manisha-suresh.iam.gserviceaccount.com,https://www.googleapis.com/compute/v1/projects/manisha-suresh/zones/us-central1-a,compute.googleapis.com,2020-10-24T00:49:06.765781513Z,7.38901E+18,manisha-suresh,us-central1-a,gce_instance,NOTICE,2020-10-24T00:49:05.410761Z
bxk212e1s34y,projects/manisha-suresh/logs/cloudaudit.googleapis.com%2Factivity,TRUE,operation-1603500544826-5b260105f1d48-d4b632ea-604776a3,,compute.googleapis.com,mapreducesystem@manisha-suresh.iam.gserviceaccount.com,//iam.googleapis.com/projects/manisha-suresh/serviceAccounts/mapreducesystem@manisha-suresh.iam.gserviceaccount.com/keys/400bdc514e9747f98c897caf2f8615d4074f5011,TRUE,compute.instances.delete,projects/manisha-suresh/zones/us-central1-a/instances/map-reduce2,compute,compute.instances,v1.compute.instances.delete,type.googleapis.com/compute.instances.delete,,,,,,34.72.158.1,//compute.googleapis.com/projects/manisha-suresh/global/networks/__unknown__,"(gzip),gzip(gfe)",[object Object],[object Object],,2020-10-24T00:49:05.348080Z,us-central1-a,projects/manisha-suresh/zones/us-central1-a/instances/map-reduce2,type.googleapis.com/operation,7.6934E+17,2020-10-23T17:49:05.166-07:00,operation-1603500544826-5b260105f1d48-d4b632ea-604776a3,delete,0,https://www.googleapis.com/compute/v1/projects/manisha-suresh/zones/us-central1-a/operations/operation-1603500544826-5b260105f1d48-d4b632ea-604776a3,https://www.googleapis.com/compute/v1/projects/manisha-suresh/zones/us-central1-a/operations/769339897419842798,2020-10-23T17:49:05.177-07:00,RUNNING,6.33904E+18,https://www.googleapis.com/compute/v1/projects/manisha-suresh/zones/us-central1-a/instances/map-reduce2,mapreducesystem@manisha-suresh.iam.gserviceaccount.com,https://www.googleapis.com/compute/v1/projects/manisha-suresh/zones/us-central1-a,compute.googleapis.com,2020-10-24T00:49:05.806826738Z,6.33904E+18,manisha-suresh,us-central1-a,gce_instance,NOTICE,2020-10-24T00:49:04.873304Z
d1mc0ge1bek0,projects/manisha-suresh/logs/cloudaudit.googleapis.com%2Factivity,TRUE,operation-1603500544194-5b26010557886-7e0352f5-16d1170a,,compute.googleapis.com,mapreducesystem@manisha-suresh.iam.gserviceaccount.com,//iam.googleapis.com/projects/manisha-suresh/serviceAccounts/mapreducesystem@manisha-suresh.iam.gserviceaccount.com/keys/400bdc514e9747f98c897caf2f8615d4074f5011,TRUE,compute.instances.delete,projects/manisha-suresh/zones/us-central1-a/instances/map-reduce1,compute,compute.instances,v1.compute.instances.delete,type.googleapis.com/compute.instances.delete,,,,,,34.72.158.1,//compute.googleapis.com/projects/manisha-suresh/global/networks/__unknown__,"(gzip),gzip(gfe)",[object Object],[object Object],,2020-10-24T00:49:04.802144Z,us-central1-a,projects/manisha-suresh/zones/us-central1-a/instances/map-reduce1,type.googleapis.com/operation,6.67858E+18,2020-10-23T17:49:04.678-07:00,operation-1603500544194-5b26010557886-7e0352f5-16d1170a,delete,0,https://www.googleapis.com/compute/v1/projects/manisha-suresh/zones/us-central1-a/operations/operation-1603500544194-5b26010557886-7e0352f5-16d1170a,https://www.googleapis.com/compute/v1/projects/manisha-suresh/zones/us-central1-a/operations/6678583343249802479,2020-10-23T17:49:04.692-07:00,RUNNING,2.46433E+18,https://www.googleapis.com/compute/v1/projects/manisha-suresh/zones/us-central1-a/instances/map-reduce1,mapreducesystem@manisha-suresh.iam.gserviceaccount.com,https://www.googleapis.com/compute/v1/projects/manisha-suresh/zones/us-central1-a,compute.googleapis.com,2020-10-24T00:49:05.671581868Z,2.46433E+18,manisha-suresh,us-central1-a,gce_instance,NOTICE,2020-10-24T00:49:04.245429Z
6e5bm4dduw4,projects/manisha-suresh/logs/cloudaudit.googleapis.com%2Factivity,,operation-1603500454852-5b2600b02363d-33c5ebcc-c8a007cd,TRUE,compute.googleapis.com,mapreducesystem@manisha-suresh.iam.gserviceaccount.com,,,,,,,v1.compute.instances.insert,type.googleapis.com/compute.instances.insert,,,,,,34.72.158.1,//compute.googleapis.com/projects/manisha-suresh/global/networks/__unknown__,"(gzip),gzip(gfe)",[object Object],,,,,projects/manisha-suresh/zones/us-central1-a/instances/map-reduce4,,,,,,,,,,,,,,,compute.googleapis.com,2020-10-24T00:47:58.202060877Z,7.79219E+18,manisha-suresh,us-central1-a,gce_instance,NOTICE,2020-10-24T00:47:57.695790Z
dloz4ld5uo0,projects/manisha-suresh/logs/cloudaudit.googleapis.com%2Factivity,,operation-1603500452450-5b2600add9248-14974d4c-61db87db,TRUE,compute.googleapis.com,mapreducesystem@manisha-suresh.iam.gserviceaccount.com,,,,,,,v1.compute.instances.insert,type.googleapis.com/compute.instances.insert,,,,,,34.72.158.1,//compute.googleapis.com/projects/manisha-suresh/global/networks/__unknown__,"(gzip),gzip(gfe)",[object Object],,,,,projects/manisha-suresh/zones/us-central1-a/instances/map-reduce2,,,,,,,,,,,,,,,compute.googleapis.com,2020-10-24T00:47:55.588978595Z,6.33904E+18,manisha-suresh,us-central1-a,gce_instance,NOTICE,2020-10-24T00:47:54.931963Z
#NAME?,projects/manisha-suresh/logs/cloudaudit.googleapis.com%2Factivity,,operation-1603500451120-5b2600ac943ec-e8d3ce41-8038a42d,TRUE,compute.googleapis.com,mapreducesystem@manisha-suresh.iam.gserviceaccount.com,,,,,,,v1.compute.instances.insert,type.googleapis.com/compute.instances.insert,,,,,,34.72.158.1,//compute.googleapis.com/projects/manisha-suresh/global/networks/__unknown__,"(gzip),gzip(gfe)",[object Object],,,,,projects/manisha-suresh/zones/us-central1-a/instances/map-reduce1,,,,,,,,,,,,,,,compute.googleapis.com,2020-10-24T00:47:54.927063861Z,2.46433E+18,manisha-suresh,us-central1-a,gce_instance,NOTICE,2020-10-24T00:47:54.176674Z
-4fpvd3ddzum,projects/manisha-suresh/logs/cloudaudit.googleapis.com%2Factivity,,operation-1603500453732-5b2600af12096-b90cc339-3b8774f3,TRUE,compute.googleapis.com,mapreducesystem@manisha-suresh.iam.gserviceaccount.com,,,,,,,v1.compute.instances.insert,type.googleapis.com/compute.instances.insert,,,,,,34.72.158.1,//compute.googleapis.com/projects/manisha-suresh/global/networks/__unknown__,"(gzip),gzip(gfe)",[object Object],,,,,projects/manisha-suresh/zones/us-central1-a/instances/map-reduce3,,,,,,,,,,,,,,,compute.googleapis.com,2020-10-24T00:47:54.013795465Z,7.38901E+18,manisha-suresh,us-central1-a,gce_instance,NOTICE,2020-10-24T00:47:52.922841Z
